0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/aos/aos.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/waypoints/noframework.waypoints.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/vendor/php-email-form/validate.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/js/main.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/hero-img.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/clients/client-1.png HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/clients/client-2.png HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/clients/client-3.png HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/clients/client-4.png HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/clients/client-5.png HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/clients/client-6.png HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/skills.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/portfolio/portfolio-1.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/portfolio/portfolio-2.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/portfolio/portfolio-3.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/portfolio/portfolio-4.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/portfolio/portfolio-5.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/portfolio/portfolio-6.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/portfolio/portfolio-7.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/portfolio/portfolio-8.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/portfolio/portfolio-9.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/team/team-1.jpg HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/team/team-2.jpg HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/team/team-3.jpg HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/team/team-4.jpg HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/May/2023:22:20:37 +0100] "GET /myLibraryApp/assets/img/why-us.png HTTP/1.1" 404 797
